SalePrice,LotShape,FullBath,BedroomAbvGr,Neighborhood,Latitude,Longitude
140000,Reg,2,3,OldTown,41.866176145774936,-93.54393001578296
79000,IR1,1,2,OldTown,41.866176145774936,-93.54393001578296
103000,Reg,1,2,OldTown,41.866176145774936,-93.54393001578296
102000,Reg,1,2,OldTown,41.866176145774936,-93.54393001578296
132000,Reg,2,3,BrkSide,41.60111501174321,-93.21482403860699
119000,Reg,1,3,BrkSide,41.60111501174321,-93.21482403860699
131000,Reg,2,3,BrkSide,41.60111501174321,-93.21482403860699
146000,Reg,2,3,BrkSide,41.60111501174321,-93.21482403860699
149000,Reg,2,3,BrkSide,41.60111501174321,-93.21482403860699
151000,Reg,2,3,BrkSide,41.60111501174321,-93.21482403860699
126000,Reg,1,2,Sawyer,41.708072577796045,-93.80032621784164
95000,Reg,1,2,Sawyer,41.708072577796045,-93.80032621784164
127000,IR1,1,2,Sawyer,41.708072577796045,-93.80032621784164
138000,Reg,2,3,Sawyer,41.708072577796045,-93.80032621784164
125000,IR1,1,2,Sawyer,41.708072577796045,-93.80032621784164
128000,IR1,1,2,Sawyer,41.708072577796045,-93.80032621784164
132500,IR1,1,2,Sawyer,41.708072577796045,-93.80032621784164
135000,IR1,2,3,NridgHt,41.020584494295804,-93.48576556158639
205000,Reg,2,4,NridgHt,41.020584494295804,-93.48576556158639
215000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
198000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
201000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
207000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
212000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
220000,Reg,3,4,NridgHt,41.020584494295804,-93.48576556158639
92000,Reg,1,2,Gilbert,41.969909852162,-93.40758543113796
145000,Reg,2,3,Gilbert,41.969909852162,-93.40758543113796
110000,IR1,1,3,Gilbert,41.969909852162,-93.40758543113796
148000,Reg,2,3,Gilbert,41.969909852162,-93.40758543113796
141000,IR1,2,3,Gilbert,41.969909852162,-93.40758543113796
108500,Reg,1,3,Gilbert,41.969909852162,-93.40758543113796
113000,IR1,1,3,Gilbert,41.969909852162,-93.40758543113796
111000,IR1,1,3,Gilbert,41.969909852162,-93.40758543113796
115500,IR1,1,3,Gilbert,41.969909852162,-93.40758543113796
86000,Reg,1,2,IDOTRR,41.83244264080042,-93.95354958728001
98000,Reg,1,2,IDOTRR,41.83244264080042,-93.95354958728001
88000,IR1,1,2,IDOTRR,41.83244264080042,-93.95354958728001
99000,Reg,1,2,IDOTRR,41.83244264080042,-93.95354958728001
105500,Reg,1,2,IDOTRR,41.83244264080042,-93.95354958728001
78000,Reg,1,2,BrDale,41.21233911067828,-93.39245514809856
89000,Reg,1,2,BrDale,41.21233911067828,-93.39245514809856
96000,Reg,1,2,BrDale,41.21233911067828,-93.39245514809856
91000,Reg,1,2,Edwards,41.1818249672071,-93.82947587631271
116000,IR1,1,3,StoneBr,41.18340450985343,-93.93494840701472
172000,Reg,2,3,Timber,41.30424224295954,-93.05111446274667
176000,Reg,2,4,Timber,41.30424224295954,-93.05111446274667
179000,Reg,2,4,Timber,41.30424224295954,-93.05111446274667
182000,Reg,2,4,Timber,41.30424224295954,-93.05111446274667
186000,Reg,2,4,Timber,41.30424224295954,-93.05111446274667
189500,Reg,2,4,Timber,41.30424224295954,-93.05111446274667
